,best
agreement_determiner_noun-across_1_adjective,0.5075
agreement_determiner_noun-between_neighbors,0.5025
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.503
agreement_subject_verb-in_question_with_aux,0.5075
agreement_subject_verb-in_simple_question,0.5015
anaphor_agreement-pronoun_gender,0.527
argument_structure-dropped_argument,0.7735
argument_structure-swapped_arguments,0.9975
argument_structure-transitive,0.5395
binding-principle_a,0.453
case-subjective_pronoun,0.9955
ellipsis-n_bar,0.5065
filler-gap-wh_question_object,0.516
filler-gap-wh_question_subject,1.0
irregular-verb,0.496
island-effects-adjunct_island,0.638
island-effects-coordinate_structure_constraint,0.097
local_attractor-in_question_with_aux,0.75
npi_licensing-matrix_question,0.826
npi_licensing-only_npi_licensor,0.9665
quantifiers-existential_there,0.7295
quantifiers-superlative,0.509
