,best
agreement_determiner_noun-across_1_adjective,0.5235
agreement_determiner_noun-between_neighbors,0.5765
agreement_subject_verb-across_prepositional_phrase,0.5145
agreement_subject_verb-across_relative_clause,0.514
agreement_subject_verb-in_question_with_aux,0.5
agreement_subject_verb-in_simple_question,0.5075
anaphor_agreement-pronoun_gender,0.503
argument_structure-dropped_argument,0.8
argument_structure-swapped_arguments,0.999
argument_structure-transitive,0.724
binding-principle_a,0.376
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3735
filler-gap-wh_question_object,0.5665
filler-gap-wh_question_subject,0.999
irregular-verb,0.666
island-effects-adjunct_island,0.5925
island-effects-coordinate_structure_constraint,0.445
local_attractor-in_question_with_aux,0.6515
npi_licensing-matrix_question,0.6305
npi_licensing-only_npi_licensor,0.6255
quantifiers-existential_there,0.717
quantifiers-superlative,0.4905
