,best
agreement_determiner_noun-across_1_adjective,0.509
agreement_determiner_noun-between_neighbors,0.55
agreement_subject_verb-across_prepositional_phrase,0.522
agreement_subject_verb-across_relative_clause,0.498
agreement_subject_verb-in_question_with_aux,0.507
agreement_subject_verb-in_simple_question,0.4955
anaphor_agreement-pronoun_gender,0.527
argument_structure-dropped_argument,0.832
argument_structure-swapped_arguments,0.99
argument_structure-transitive,0.586
binding-principle_a,0.382
case-subjective_pronoun,1.0
ellipsis-n_bar,0.557
filler-gap-wh_question_object,0.481
filler-gap-wh_question_subject,0.894
irregular-verb,0.603
island-effects-adjunct_island,0.944
island-effects-coordinate_structure_constraint,0.05
local_attractor-in_question_with_aux,0.6365
npi_licensing-matrix_question,0.5885
npi_licensing-only_npi_licensor,0.873
quantifiers-existential_there,0.66
quantifiers-superlative,0.459
