,epoch_2
agreement_determiner_noun-across_1_adjective,0.531
agreement_determiner_noun-between_neighbors,0.5305
agreement_subject_verb-across_prepositional_phrase,0.4965
agreement_subject_verb-across_relative_clause,0.499
agreement_subject_verb-in_question_with_aux,0.4645
agreement_subject_verb-in_simple_question,0.5085
anaphor_agreement-pronoun_gender,0.585
argument_structure-dropped_argument,0.7555
argument_structure-swapped_arguments,0.9915
argument_structure-transitive,0.505
binding-principle_a,0.479
case-subjective_pronoun,0.9955
ellipsis-n_bar,0.309
filler-gap-wh_question_object,0.999
filler-gap-wh_question_subject,1.0
irregular-verb,0.5075
island-effects-adjunct_island,0.591
island-effects-coordinate_structure_constraint,0.564
local_attractor-in_question_with_aux,0.6525
npi_licensing-matrix_question,0.647
npi_licensing-only_npi_licensor,0.1115
quantifiers-existential_there,0.895
quantifiers-superlative,0.2865
