,epoch_4
agreement_determiner_noun-across_1_adjective,0.4995
agreement_determiner_noun-between_neighbors,0.492
agreement_subject_verb-across_prepositional_phrase,0.497
agreement_subject_verb-across_relative_clause,0.4945
agreement_subject_verb-in_question_with_aux,0.5005
agreement_subject_verb-in_simple_question,0.4955
anaphor_agreement-pronoun_gender,0.507
argument_structure-dropped_argument,0.7665
argument_structure-swapped_arguments,0.993
argument_structure-transitive,0.509
binding-principle_a,0.452
case-subjective_pronoun,0.9595
ellipsis-n_bar,0.315
filler-gap-wh_question_object,0.1815
filler-gap-wh_question_subject,0.9955
irregular-verb,0.462
island-effects-adjunct_island,0.872
island-effects-coordinate_structure_constraint,0.156
local_attractor-in_question_with_aux,0.8195
npi_licensing-matrix_question,0.6355
npi_licensing-only_npi_licensor,0.999
quantifiers-existential_there,0.7365
quantifiers-superlative,0.509
