,best
agreement_determiner_noun-across_1_adjective,0.4985
agreement_determiner_noun-between_neighbors,0.471
agreement_subject_verb-across_prepositional_phrase,0.503
agreement_subject_verb-across_relative_clause,0.5035
agreement_subject_verb-in_question_with_aux,0.4715
agreement_subject_verb-in_simple_question,0.498
anaphor_agreement-pronoun_gender,0.529
argument_structure-dropped_argument,0.8475
argument_structure-swapped_arguments,0.967
argument_structure-transitive,0.5205
binding-principle_a,0.436
case-subjective_pronoun,0.8375
ellipsis-n_bar,0.257
filler-gap-wh_question_object,0.367
filler-gap-wh_question_subject,1.0
irregular-verb,0.5145
island-effects-adjunct_island,0.6735
island-effects-coordinate_structure_constraint,0.215
local_attractor-in_question_with_aux,0.843
npi_licensing-matrix_question,0.7295
npi_licensing-only_npi_licensor,0.512
quantifiers-existential_there,0.7785
quantifiers-superlative,0.2555
