,best
agreement_determiner_noun-across_1_adjective,0.501
agreement_determiner_noun-between_neighbors,0.4725
agreement_subject_verb-across_prepositional_phrase,0.493
agreement_subject_verb-across_relative_clause,0.5025
agreement_subject_verb-in_question_with_aux,0.488
agreement_subject_verb-in_simple_question,0.4935
anaphor_agreement-pronoun_gender,0.551
argument_structure-dropped_argument,0.782
argument_structure-swapped_arguments,0.9785
argument_structure-transitive,0.479
binding-principle_a,0.395
case-subjective_pronoun,0.8995
ellipsis-n_bar,0.46
filler-gap-wh_question_object,0.537
filler-gap-wh_question_subject,0.9995
irregular-verb,0.522
island-effects-adjunct_island,0.541
island-effects-coordinate_structure_constraint,0.1515
local_attractor-in_question_with_aux,0.8475
npi_licensing-matrix_question,0.763
npi_licensing-only_npi_licensor,0.5545
quantifiers-existential_there,0.6765
quantifiers-superlative,0.466
