,epoch_3
agreement_determiner_noun-across_1_adjective,0.5095
agreement_determiner_noun-between_neighbors,0.4865
agreement_subject_verb-across_prepositional_phrase,0.4985
agreement_subject_verb-across_relative_clause,0.501
agreement_subject_verb-in_question_with_aux,0.495
agreement_subject_verb-in_simple_question,0.505
anaphor_agreement-pronoun_gender,0.5245
argument_structure-dropped_argument,0.8285
argument_structure-swapped_arguments,0.9985
argument_structure-transitive,0.505
binding-principle_a,0.347
case-subjective_pronoun,0.997
ellipsis-n_bar,0.6945
filler-gap-wh_question_object,0.862
filler-gap-wh_question_subject,1.0
irregular-verb,0.482
island-effects-adjunct_island,0.968
island-effects-coordinate_structure_constraint,0.3755
local_attractor-in_question_with_aux,0.706
npi_licensing-matrix_question,0.2835
npi_licensing-only_npi_licensor,0.002
quantifiers-existential_there,0.6955
quantifiers-superlative,0.368
