,best
agreement_determiner_noun-across_1_adjective,0.504
agreement_determiner_noun-between_neighbors,0.5035
agreement_subject_verb-across_prepositional_phrase,0.4925
agreement_subject_verb-across_relative_clause,0.483
agreement_subject_verb-in_question_with_aux,0.4895
agreement_subject_verb-in_simple_question,0.492
anaphor_agreement-pronoun_gender,0.54
argument_structure-dropped_argument,0.8615
argument_structure-swapped_arguments,0.9985
argument_structure-transitive,0.5135
binding-principle_a,0.442
case-subjective_pronoun,0.977
ellipsis-n_bar,0.1705
filler-gap-wh_question_object,0.159
filler-gap-wh_question_subject,1.0
irregular-verb,0.5155
island-effects-adjunct_island,0.58
island-effects-coordinate_structure_constraint,0.249
local_attractor-in_question_with_aux,0.81
npi_licensing-matrix_question,0.8245
npi_licensing-only_npi_licensor,0.9955
quantifiers-existential_there,0.7255
quantifiers-superlative,0.0965
