,epoch_10
agreement_determiner_noun-across_1_adjective,0.7985
agreement_determiner_noun-between_neighbors,0.7205
agreement_subject_verb-across_prepositional_phrase,0.687
agreement_subject_verb-across_relative_clause,0.6975
agreement_subject_verb-in_question_with_aux,0.78
agreement_subject_verb-in_simple_question,0.749
anaphor_agreement-pronoun_gender,0.9585
argument_structure-dropped_argument,0.899
argument_structure-swapped_arguments,0.9825
argument_structure-transitive,0.6765
binding-principle_a,0.8845
case-subjective_pronoun,0.9705
ellipsis-n_bar,0.6365
filler-gap-wh_question_object,0.9635
filler-gap-wh_question_subject,0.9315
irregular-verb,0.8445
island-effects-adjunct_island,0.607
island-effects-coordinate_structure_constraint,0.899
local_attractor-in_question_with_aux,0.844
npi_licensing-matrix_question,0.6805
npi_licensing-only_npi_licensor,0.989
quantifiers-existential_there,0.909
quantifiers-superlative,0.8825
