,epoch_3
agreement_determiner_noun-across_1_adjective,0.4835
agreement_determiner_noun-between_neighbors,0.4035
agreement_subject_verb-across_prepositional_phrase,0.51
agreement_subject_verb-across_relative_clause,0.5025
agreement_subject_verb-in_question_with_aux,0.478
agreement_subject_verb-in_simple_question,0.492
anaphor_agreement-pronoun_gender,0.531
argument_structure-dropped_argument,0.725
argument_structure-swapped_arguments,0.7775
argument_structure-transitive,0.526
binding-principle_a,0.4
case-subjective_pronoun,0.579
ellipsis-n_bar,0.217
filler-gap-wh_question_object,0.435
filler-gap-wh_question_subject,1.0
irregular-verb,0.509
island-effects-adjunct_island,0.468
island-effects-coordinate_structure_constraint,0.395
local_attractor-in_question_with_aux,0.797
npi_licensing-matrix_question,0.6045
npi_licensing-only_npi_licensor,0.7545
quantifiers-existential_there,0.8155
quantifiers-superlative,0.1515
