,best
agreement_determiner_noun-across_1_adjective,0.5135
agreement_determiner_noun-between_neighbors,0.543
agreement_subject_verb-across_prepositional_phrase,0.517
agreement_subject_verb-across_relative_clause,0.505
agreement_subject_verb-in_question_with_aux,0.5055
agreement_subject_verb-in_simple_question,0.4985
anaphor_agreement-pronoun_gender,0.5165
argument_structure-dropped_argument,0.8395
argument_structure-swapped_arguments,0.9935
argument_structure-transitive,0.58
binding-principle_a,0.343
case-subjective_pronoun,1.0
ellipsis-n_bar,0.595
filler-gap-wh_question_object,0.5475
filler-gap-wh_question_subject,0.9245
irregular-verb,0.6135
island-effects-adjunct_island,0.939
island-effects-coordinate_structure_constraint,0.189
local_attractor-in_question_with_aux,0.613
npi_licensing-matrix_question,0.615
npi_licensing-only_npi_licensor,0.6385
quantifiers-existential_there,0.681
quantifiers-superlative,0.4555
