,epoch_6
agreement_determiner_noun-across_1_adjective,0.503
agreement_determiner_noun-between_neighbors,0.5085
agreement_subject_verb-across_prepositional_phrase,0.5085
agreement_subject_verb-across_relative_clause,0.499
agreement_subject_verb-in_question_with_aux,0.5
agreement_subject_verb-in_simple_question,0.5025
anaphor_agreement-pronoun_gender,0.527
argument_structure-dropped_argument,0.7605
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5075
binding-principle_a,0.4425
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3455
filler-gap-wh_question_object,0.5055
filler-gap-wh_question_subject,0.9995
irregular-verb,0.4605
island-effects-adjunct_island,0.863
island-effects-coordinate_structure_constraint,0.2005
local_attractor-in_question_with_aux,0.822
npi_licensing-matrix_question,0.616
npi_licensing-only_npi_licensor,0.9445
quantifiers-existential_there,0.7135
quantifiers-superlative,0.509
