,best
agreement_determiner_noun-across_1_adjective,0.511
agreement_determiner_noun-between_neighbors,0.5125
agreement_subject_verb-across_prepositional_phrase,0.5055
agreement_subject_verb-across_relative_clause,0.5055
agreement_subject_verb-in_question_with_aux,0.4955
agreement_subject_verb-in_simple_question,0.5045
anaphor_agreement-pronoun_gender,0.5315
argument_structure-dropped_argument,0.73
argument_structure-swapped_arguments,0.824
argument_structure-transitive,0.5785
binding-principle_a,0.4475
case-subjective_pronoun,0.968
ellipsis-n_bar,0.59
filler-gap-wh_question_object,0.5635
filler-gap-wh_question_subject,0.9905
irregular-verb,0.534
island-effects-adjunct_island,0.9075
island-effects-coordinate_structure_constraint,0.278
local_attractor-in_question_with_aux,0.7995
npi_licensing-matrix_question,0.41
npi_licensing-only_npi_licensor,0.0
quantifiers-existential_there,0.687
quantifiers-superlative,0.4965
