,best
agreement_determiner_noun-across_1_adjective,0.5255
agreement_determiner_noun-between_neighbors,0.5795
agreement_subject_verb-across_prepositional_phrase,0.499
agreement_subject_verb-across_relative_clause,0.509
agreement_subject_verb-in_question_with_aux,0.498
agreement_subject_verb-in_simple_question,0.503
anaphor_agreement-pronoun_gender,0.514
argument_structure-dropped_argument,0.811
argument_structure-swapped_arguments,0.998
argument_structure-transitive,0.7335
binding-principle_a,0.384
case-subjective_pronoun,1.0
ellipsis-n_bar,0.376
filler-gap-wh_question_object,0.467
filler-gap-wh_question_subject,0.9985
irregular-verb,0.684
island-effects-adjunct_island,0.598
island-effects-coordinate_structure_constraint,0.265
local_attractor-in_question_with_aux,0.5685
npi_licensing-matrix_question,0.583
npi_licensing-only_npi_licensor,0.581
quantifiers-existential_there,0.715
quantifiers-superlative,0.4895
