,epoch_0
agreement_determiner_noun-across_1_adjective,0.493
agreement_determiner_noun-between_neighbors,0.4935
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.4775
agreement_subject_verb-in_question_with_aux,0.5025
agreement_subject_verb-in_simple_question,0.492
anaphor_agreement-pronoun_gender,0.4365
argument_structure-dropped_argument,0.411
argument_structure-swapped_arguments,0.2045
argument_structure-transitive,0.5375
binding-principle_a,0.5165
case-subjective_pronoun,0.209
ellipsis-n_bar,0.589
filler-gap-wh_question_object,0.734
filler-gap-wh_question_subject,0.4395
irregular-verb,0.5185
island-effects-adjunct_island,0.347
island-effects-coordinate_structure_constraint,0.307
local_attractor-in_question_with_aux,0.613
npi_licensing-matrix_question,0.628
npi_licensing-only_npi_licensor,0.102
quantifiers-existential_there,0.549
quantifiers-superlative,0.0465
