,epoch_9
adjunct_island,0.565
anaphor_gender_agreement,0.546
anaphor_number_agreement,0.506
animate_subject_passive,0.51
animate_subject_trans,0.454
causative,0.45
complex_NP_island,0.533
coordinate_structure_constraint_complex_left_branch,0.329
coordinate_structure_constraint_object_extraction,0.514
determiner_noun_agreement_1,0.501
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.524
determiner_noun_agreement_irregular_2,0.534
determiner_noun_agreement_with_adj_2,0.476
determiner_noun_agreement_with_adj_irregular_1,0.532
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.504
distractor_agreement_relational_noun,0.481
distractor_agreement_relative_clause,0.524
drop_argument,0.588
ellipsis_n_bar_1,0.272
ellipsis_n_bar_2,0.317
existential_there_object_raising,0.72
existential_there_quantifiers_1,0.759
existential_there_quantifiers_2,0.443
existential_there_subject_raising,0.578
expletive_it_object_raising,0.641
inchoative,0.354
intransitive,0.389
irregular_past_participle_adjectives,0.297
irregular_past_participle_verbs,0.625
irregular_plural_subject_verb_agreement_1,0.517
irregular_plural_subject_verb_agreement_2,0.526
left_branch_island_echo_question,0.644
left_branch_island_simple_question,0.34
matrix_question_npi_licensor_present,0.067
npi_present_1,0.249
npi_present_2,0.232
only_npi_licensor_present,0.336
only_npi_scope,0.514
passive_1,0.638
passive_2,0.608
principle_A_c_command,0.364
principle_A_case_1,1.0
principle_A_case_2,0.443
principle_A_domain_1,0.999
principle_A_domain_2,0.528
principle_A_domain_3,0.533
principle_A_reconstruction,0.388
regular_plural_subject_verb_agreement_1,0.463
regular_plural_subject_verb_agreement_2,0.445
sentential_negation_npi_licensor_present,0.998
sentential_negation_npi_scope,0.572
sentential_subject_island,0.476
superlative_quantifiers_1,0.384
superlative_quantifiers_2,0.343
tough_vs_raising_1,0.488
tough_vs_raising_2,0.576
transitive,0.614
wh_island,0.957
wh_questions_object_gap,0.625
wh_questions_subject_gap,0.957
wh_questions_subject_gap_long_distance,0.899
wh_vs_that_no_gap,0.97
wh_vs_that_no_gap_long_distance,0.965
wh_vs_that_with_gap,0.035
wh_vs_that_with_gap_long_distance,0.049
