,epoch_1
adjunct_island,0.439
anaphor_gender_agreement,0.791
anaphor_number_agreement,0.622
animate_subject_passive,0.526
animate_subject_trans,0.598
causative,0.475
complex_NP_island,0.282
coordinate_structure_constraint_complex_left_branch,0.749
coordinate_structure_constraint_object_extraction,0.272
determiner_noun_agreement_1,0.516
determiner_noun_agreement_2,0.498
determiner_noun_agreement_irregular_1,0.526
determiner_noun_agreement_irregular_2,0.523
determiner_noun_agreement_with_adj_2,0.497
determiner_noun_agreement_with_adj_irregular_1,0.533
determiner_noun_agreement_with_adj_irregular_2,0.527
determiner_noun_agreement_with_adjective_1,0.508
distractor_agreement_relational_noun,0.491
distractor_agreement_relative_clause,0.526
drop_argument,0.48
ellipsis_n_bar_1,0.39
ellipsis_n_bar_2,0.475
existential_there_object_raising,0.411
existential_there_quantifiers_1,0.619
existential_there_quantifiers_2,0.353
existential_there_subject_raising,0.469
expletive_it_object_raising,0.42
inchoative,0.522
intransitive,0.558
irregular_past_participle_adjectives,0.354
irregular_past_participle_verbs,0.471
irregular_plural_subject_verb_agreement_1,0.494
irregular_plural_subject_verb_agreement_2,0.512
left_branch_island_echo_question,0.735
left_branch_island_simple_question,0.74
matrix_question_npi_licensor_present,0.483
npi_present_1,0.024
npi_present_2,0.025
only_npi_licensor_present,0.0
only_npi_scope,0.151
passive_1,0.451
passive_2,0.452
principle_A_c_command,0.509
principle_A_case_1,0.45
principle_A_case_2,0.438
principle_A_domain_1,0.647
principle_A_domain_2,0.415
principle_A_domain_3,0.503
principle_A_reconstruction,0.525
regular_plural_subject_verb_agreement_1,0.601
regular_plural_subject_verb_agreement_2,0.503
sentential_negation_npi_licensor_present,0.301
sentential_negation_npi_scope,0.903
sentential_subject_island,0.465
superlative_quantifiers_1,0.543
superlative_quantifiers_2,0.227
tough_vs_raising_1,0.436
tough_vs_raising_2,0.543
transitive,0.474
wh_island,0.676
wh_questions_object_gap,0.35
wh_questions_subject_gap,0.711
wh_questions_subject_gap_long_distance,0.606
wh_vs_that_no_gap,0.509
wh_vs_that_no_gap_long_distance,0.529
wh_vs_that_with_gap,0.43
wh_vs_that_with_gap_long_distance,0.441
