,epoch_0
adjunct_island,0.517
anaphor_gender_agreement,0.307
anaphor_number_agreement,0.445
animate_subject_passive,0.565
animate_subject_trans,0.502
causative,0.493
complex_NP_island,0.541
coordinate_structure_constraint_complex_left_branch,0.54
coordinate_structure_constraint_object_extraction,0.517
determiner_noun_agreement_1,0.53
determiner_noun_agreement_2,0.507
determiner_noun_agreement_irregular_1,0.475
determiner_noun_agreement_irregular_2,0.51
determiner_noun_agreement_with_adj_2,0.492
determiner_noun_agreement_with_adj_irregular_1,0.464
determiner_noun_agreement_with_adj_irregular_2,0.513
determiner_noun_agreement_with_adjective_1,0.495
distractor_agreement_relational_noun,0.571
distractor_agreement_relative_clause,0.509
drop_argument,0.508
ellipsis_n_bar_1,0.471
ellipsis_n_bar_2,0.527
existential_there_object_raising,0.451
existential_there_quantifiers_1,0.204
existential_there_quantifiers_2,0.454
existential_there_subject_raising,0.527
expletive_it_object_raising,0.448
inchoative,0.508
intransitive,0.515
irregular_past_participle_adjectives,0.334
irregular_past_participle_verbs,0.459
irregular_plural_subject_verb_agreement_1,0.493
irregular_plural_subject_verb_agreement_2,0.522
left_branch_island_echo_question,0.614
left_branch_island_simple_question,0.539
matrix_question_npi_licensor_present,0.608
npi_present_1,0.635
npi_present_2,0.492
only_npi_licensor_present,0.774
only_npi_scope,0.621
passive_1,0.492
passive_2,0.441
principle_A_c_command,0.557
principle_A_case_1,0.539
principle_A_case_2,0.495
principle_A_domain_1,0.859
principle_A_domain_2,0.538
principle_A_domain_3,0.497
principle_A_reconstruction,0.53
regular_plural_subject_verb_agreement_1,0.508
regular_plural_subject_verb_agreement_2,0.471
sentential_negation_npi_licensor_present,0.813
sentential_negation_npi_scope,0.474
sentential_subject_island,0.483
superlative_quantifiers_1,0.446
superlative_quantifiers_2,0.579
tough_vs_raising_1,0.482
tough_vs_raising_2,0.476
transitive,0.495
wh_island,0.164
wh_questions_object_gap,0.545
wh_questions_subject_gap,0.39
wh_questions_subject_gap_long_distance,0.418
wh_vs_that_no_gap,0.477
wh_vs_that_no_gap_long_distance,0.594
wh_vs_that_with_gap,0.51
wh_vs_that_with_gap_long_distance,0.377
