,epoch_3
adjunct_island,0.514
anaphor_gender_agreement,0.771
anaphor_number_agreement,0.64
animate_subject_passive,0.526
animate_subject_trans,0.439
causative,0.456
complex_NP_island,0.484
coordinate_structure_constraint_complex_left_branch,0.428
coordinate_structure_constraint_object_extraction,0.464
determiner_noun_agreement_1,0.528
determiner_noun_agreement_2,0.488
determiner_noun_agreement_irregular_1,0.519
determiner_noun_agreement_irregular_2,0.533
determiner_noun_agreement_with_adj_2,0.471
determiner_noun_agreement_with_adj_irregular_1,0.542
determiner_noun_agreement_with_adj_irregular_2,0.54
determiner_noun_agreement_with_adjective_1,0.487
distractor_agreement_relational_noun,0.465
distractor_agreement_relative_clause,0.536
drop_argument,0.556
ellipsis_n_bar_1,0.156
ellipsis_n_bar_2,0.368
existential_there_object_raising,0.673
existential_there_quantifiers_1,0.76
existential_there_quantifiers_2,0.601
existential_there_subject_raising,0.573
expletive_it_object_raising,0.649
inchoative,0.345
intransitive,0.436
irregular_past_participle_adjectives,0.467
irregular_past_participle_verbs,0.704
irregular_plural_subject_verb_agreement_1,0.541
irregular_plural_subject_verb_agreement_2,0.484
left_branch_island_echo_question,0.664
left_branch_island_simple_question,0.5
matrix_question_npi_licensor_present,0.083
npi_present_1,0.27
npi_present_2,0.232
only_npi_licensor_present,0.308
only_npi_scope,0.489
passive_1,0.586
passive_2,0.602
principle_A_c_command,0.433
principle_A_case_1,0.994
principle_A_case_2,0.409
principle_A_domain_1,0.873
principle_A_domain_2,0.413
principle_A_domain_3,0.524
principle_A_reconstruction,0.305
regular_plural_subject_verb_agreement_1,0.523
regular_plural_subject_verb_agreement_2,0.462
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.761
sentential_subject_island,0.501
superlative_quantifiers_1,0.348
superlative_quantifiers_2,0.105
tough_vs_raising_1,0.494
tough_vs_raising_2,0.556
transitive,0.61
wh_island,0.815
wh_questions_object_gap,0.533
wh_questions_subject_gap,0.814
wh_questions_subject_gap_long_distance,0.679
wh_vs_that_no_gap,0.709
wh_vs_that_no_gap_long_distance,0.705
wh_vs_that_with_gap,0.261
wh_vs_that_with_gap_long_distance,0.328
