,epoch_6
adjunct_island,0.636
adv_order,0.683
anaphor_gender_agreement,0.504
anaphor_number_agreement,0.516
center_embedding_double_1,0.367
center_embedding_double_2,0.932
center_embedding_single_1,0.308
center_embedding_single_2,0.942
complex_np_island,0.427
coordinate_structure_constrain_object_extraction,0.285
determiner_noun_agreement_1,0.48
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.525
determiner_noun_agreement_adj_2,0.602
ellipsis,0.248
green_ideas,0.469
intransitive,0.477
left_branch_island_simple_question,0.334
matrix_question_npi_licensor_present,0.517
npi_present,0.466
only_npi_licensor_present,0.042
only_npi_scope,0.67
pp_order,0.719
principle_A_c_command,0.496
principle_A_domain_1,1.0
principle_A_domain_2,0.506
principle_A_domain_3,0.526
recursion_intensifier_adj_long,0.984
recursion_intensifier_adj_medium,0.997
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.019
recursion_intensifier_adv_medium,0.001
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.574
recursion_poss_ditransitive_medium,0.585
recursion_poss_ditransitive_short,0.559
recursion_poss_transitive_long,0.644
recursion_poss_transitive_medium,0.68
recursion_poss_transitive_short,0.684
recursion_pp_is_long,0.844
recursion_pp_is_medium,0.939
recursion_pp_is_short,0.851
recursion_pp_verb_long,1.0
recursion_pp_verb_medium,1.0
recursion_pp_verb_short,0.998
sentential_negation_npi_licensor_present,0.892
sentential_negation_npi_scope,0.243
subj_aux_agreement_question_vary_aux,0.594
subj_aux_agreement_question_vary_subj,0.473
subj_aux_vary_subj,0.53
subj_aux_vary_verb,0.442
subj_aux_vary_verb_pp,0.491
subj_aux_vary_verb_rc,0.501
subj_verb_vary_verb,0.392
svo_vos,0.335
swapped_ditransitive_1,0.71
swapped_ditransitive_2,0.618
transitive,0.735
wh_island,1.0
wh_questions_object_gap,0.271
wh_questions_object_gap_long_distance,0.218
wh_questions_subject_gap,0.641
wh_questions_subject_gap_long_distance,0.687
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.085
wh_vs_that_with_gap_long_distance,0.071
