,epoch_2
adjunct_island,0.702
adv_order,0.426
anaphor_gender_agreement,0.515
anaphor_number_agreement,0.452
center_embedding_double_1,0.549
center_embedding_double_2,0.509
center_embedding_single_1,0.666
center_embedding_single_2,0.606
complex_np_island,0.41
coordinate_structure_constrain_object_extraction,0.29
determiner_noun_agreement_1,0.503
determiner_noun_agreement_2,0.567
determiner_noun_agreement_adj_1,0.513
determiner_noun_agreement_adj_2,0.578
ellipsis,0.306
green_ideas,0.431
intransitive,0.364
left_branch_island_simple_question,0.62
matrix_question_npi_licensor_present,0.9
npi_present,0.121
only_npi_licensor_present,1.0
only_npi_scope,1.0
pp_order,0.483
principle_A_c_command,0.461
principle_A_domain_1,0.942
principle_A_domain_2,0.506
principle_A_domain_3,0.494
recursion_intensifier_adj_long,0.843
recursion_intensifier_adj_medium,0.868
recursion_intensifier_adj_short,0.853
recursion_intensifier_adv_long,0.159
recursion_intensifier_adv_medium,0.147
recursion_intensifier_adv_short,0.156
recursion_poss_ditransitive_long,0.372
recursion_poss_ditransitive_medium,0.377
recursion_poss_ditransitive_short,0.396
recursion_poss_transitive_long,0.057
recursion_poss_transitive_medium,0.122
recursion_poss_transitive_short,0.277
recursion_pp_is_long,0.003
recursion_pp_is_medium,0.004
recursion_pp_is_short,0.052
recursion_pp_verb_long,0.0
recursion_pp_verb_medium,0.0
recursion_pp_verb_short,0.0
sentential_negation_npi_licensor_present,0.622
sentential_negation_npi_scope,0.202
subj_aux_agreement_question_vary_aux,0.477
subj_aux_agreement_question_vary_subj,0.479
subj_aux_vary_subj,0.499
subj_aux_vary_verb,0.502
subj_aux_vary_verb_pp,0.516
subj_aux_vary_verb_rc,0.49
subj_verb_vary_verb,0.476
svo_vos,0.178
swapped_ditransitive_1,0.575
swapped_ditransitive_2,0.506
transitive,0.647
wh_island,0.655
wh_questions_object_gap,0.233
wh_questions_object_gap_long_distance,0.23
wh_questions_subject_gap,0.691
wh_questions_subject_gap_long_distance,0.731
wh_vs_that_no_gap,0.975
wh_vs_that_no_gap_long_distance,0.944
wh_vs_that_with_gap,0.607
wh_vs_that_with_gap_long_distance,0.655
