,epoch_6
adjunct_island,0.704
adv_order,0.635
anaphor_gender_agreement,0.485
anaphor_number_agreement,0.525
center_embedding_double_1,0.371
center_embedding_double_2,0.921
center_embedding_single_1,0.263
center_embedding_single_2,0.934
complex_np_island,0.572
coordinate_structure_constrain_object_extraction,0.205
determiner_noun_agreement_1,0.453
determiner_noun_agreement_2,0.581
determiner_noun_agreement_adj_1,0.506
determiner_noun_agreement_adj_2,0.602
ellipsis,0.557
green_ideas,0.547
intransitive,0.514
left_branch_island_simple_question,0.691
matrix_question_npi_licensor_present,0.669
npi_present,0.48
only_npi_licensor_present,0.001
only_npi_scope,0.357
pp_order,0.423
principle_A_c_command,0.544
principle_A_domain_1,1.0
principle_A_domain_2,0.488
principle_A_domain_3,0.502
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.771
recursion_poss_ditransitive_medium,0.78
recursion_poss_ditransitive_short,0.793
recursion_poss_transitive_long,0.99
recursion_poss_transitive_medium,0.997
recursion_poss_transitive_short,0.996
recursion_pp_is_long,0.396
recursion_pp_is_medium,0.324
recursion_pp_is_short,0.06
recursion_pp_verb_long,0.001
recursion_pp_verb_medium,0.099
recursion_pp_verb_short,0.815
sentential_negation_npi_licensor_present,0.55
sentential_negation_npi_scope,0.042
subj_aux_agreement_question_vary_aux,0.464
subj_aux_agreement_question_vary_subj,0.498
subj_aux_vary_subj,0.529
subj_aux_vary_verb,0.453
subj_aux_vary_verb_pp,0.508
subj_aux_vary_verb_rc,0.536
subj_verb_vary_verb,0.391
svo_vos,0.343
swapped_ditransitive_1,0.815
swapped_ditransitive_2,0.642
transitive,0.73
wh_island,0.965
wh_questions_object_gap,0.772
wh_questions_object_gap_long_distance,0.734
wh_questions_subject_gap,0.696
wh_questions_subject_gap_long_distance,0.666
wh_vs_that_no_gap,1.0
wh_vs_that_no_gap_long_distance,1.0
wh_vs_that_with_gap,0.0
wh_vs_that_with_gap_long_distance,0.0
