,epoch_10
adjunct_island_implausible,0.51
adv_order_implausible,0.667
anaphor_gender_agreement_implausible,0.519
anaphor_number_agreement_implausible,0.523
center_embedding_double_1_implausible,0.369
center_embedding_double_2_implausible,0.906
center_embedding_single_1_implausible,0.261
center_embedding_single_2_implausible,0.936
complex_np_island_implausible,0.512
coordinate_structure_constrain_object_extraction_implausible,0.216
determiner_noun_agreement_1_implausible,0.574
determiner_noun_agreement_2_implausible,0.58
determiner_noun_agreement_adj_1_implausible,0.489
determiner_noun_agreement_adj_2_implausible,0.608
ellipsis_implausible,0.253
green_ideas_implausible,0.395
intransitive_implausible,0.449
left_branch_island_simple_question_implausible,0.313
matrix_question_npi_licensor_present_implausible,0.776
npi_present_implausible,0.272
only_npi_licensor_present_implausible,1.0
only_npi_scope_implausible,0.999
pp_order_implausible,0.593
principle_A_c_command_implausible,0.478
principle_A_domain_1_implausible,0.999
principle_A_domain_2_implausible,0.468
principle_A_domain_3_implausible,0.497
recursion_intensifier_adj_long_implausible,1.0
recursion_intensifier_adj_medium_implausible,1.0
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.0
recursion_intensifier_adv_medium_implausible,0.0
recursion_intensifier_adv_short_implausible,0.0
recursion_poss_ditransitive_long_implausible,0.545
recursion_poss_ditransitive_medium_implausible,0.593
recursion_poss_ditransitive_short_implausible,0.612
recursion_poss_transitive_long_implausible,0.565
recursion_poss_transitive_medium_implausible,0.677
recursion_poss_transitive_short_implausible,0.826
recursion_pp_is_long_implausible,0.87
recursion_pp_is_medium_implausible,0.718
recursion_pp_is_short_implausible,0.529
recursion_pp_verb_long_implausible,0.018
recursion_pp_verb_medium_implausible,0.218
recursion_pp_verb_short_implausible,0.933
sentential_negation_npi_licensor_present_implausible,0.839
sentential_negation_npi_scope_implausible,0.145
subj_aux_agreement_question_vary_aux_implausible,0.493
subj_aux_agreement_question_vary_subj_implausible,0.484
subj_aux_vary_subj_implausible,0.518
subj_aux_vary_verb_implausible,0.45
subj_aux_vary_verb_pp_implausible,0.543
subj_aux_vary_verb_rc_implausible,0.52
subj_verb_vary_verb_implausible,0.427
svo_vos_implausible,0.232
swapped_ditransitive_1_implausible,0.988
swapped_ditransitive_2_implausible,0.862
transitive_implausible,0.777
wh_island_implausible,0.959
wh_questions_object_gap_implausible,0.255
wh_questions_object_gap_long_distance_implausible,0.213
wh_questions_subject_gap_implausible,0.81
wh_questions_subject_gap_long_distance_implausible,0.804
wh_vs_that_no_gap_implausible,1.0
wh_vs_that_no_gap_long_distance_implausible,1.0
wh_vs_that_with_gap_implausible,0.32
wh_vs_that_with_gap_long_distance_implausible,0.473
