,epoch_1
adjunct_island_implausible,0.749
adv_order_implausible,0.955
anaphor_gender_agreement_implausible,0.639
anaphor_number_agreement_implausible,0.846
center_embedding_double_1_implausible,0.302
center_embedding_double_2_implausible,0.991
center_embedding_single_1_implausible,0.445
center_embedding_single_2_implausible,0.976
complex_np_island_implausible,0.333
coordinate_structure_constrain_object_extraction_implausible,0.364
determiner_noun_agreement_1_implausible,0.964
determiner_noun_agreement_2_implausible,0.978
determiner_noun_agreement_adj_1_implausible,0.89
determiner_noun_agreement_adj_2_implausible,0.958
ellipsis_implausible,0.521
green_ideas_implausible,0.527
intransitive_implausible,0.687
left_branch_island_simple_question_implausible,0.581
matrix_question_npi_licensor_present_implausible,0.183
npi_present_implausible,0.642
only_npi_licensor_present_implausible,0.863
only_npi_scope_implausible,0.641
pp_order_implausible,0.844
principle_A_c_command_implausible,0.457
principle_A_domain_1_implausible,0.992
principle_A_domain_2_implausible,0.702
principle_A_domain_3_implausible,0.489
recursion_intensifier_adj_long_implausible,1.0
recursion_intensifier_adj_medium_implausible,1.0
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.0
recursion_intensifier_adv_medium_implausible,0.0
recursion_intensifier_adv_short_implausible,0.015
recursion_poss_ditransitive_long_implausible,0.151
recursion_poss_ditransitive_medium_implausible,0.132
recursion_poss_ditransitive_short_implausible,0.399
recursion_poss_transitive_long_implausible,0.992
recursion_poss_transitive_medium_implausible,0.994
recursion_poss_transitive_short_implausible,0.997
recursion_pp_is_long_implausible,0.247
recursion_pp_is_medium_implausible,0.384
recursion_pp_is_short_implausible,0.712
recursion_pp_verb_long_implausible,0.293
recursion_pp_verb_medium_implausible,0.392
recursion_pp_verb_short_implausible,0.45
sentential_negation_npi_licensor_present_implausible,1.0
sentential_negation_npi_scope_implausible,0.642
subj_aux_agreement_question_vary_aux_implausible,0.749
subj_aux_agreement_question_vary_subj_implausible,0.557
subj_aux_vary_subj_implausible,0.908
subj_aux_vary_verb_implausible,0.858
subj_aux_vary_verb_pp_implausible,0.262
subj_aux_vary_verb_rc_implausible,0.365
subj_verb_vary_verb_implausible,0.658
svo_vos_implausible,0.584
swapped_ditransitive_1_implausible,1.0
swapped_ditransitive_2_implausible,0.991
transitive_implausible,0.837
wh_island_implausible,0.769
wh_questions_object_gap_implausible,0.335
wh_questions_object_gap_long_distance_implausible,0.315
wh_questions_subject_gap_implausible,0.747
wh_questions_subject_gap_long_distance_implausible,0.861
wh_vs_that_no_gap_implausible,0.968
wh_vs_that_no_gap_long_distance_implausible,0.959
wh_vs_that_with_gap_implausible,0.461
wh_vs_that_with_gap_long_distance_implausible,0.278
